model,accent,wer,cer
wav2vec2,indian,0.1772901428073842,0.0506678281068525
wav2vec2,australian,0.27899686520376177,0.09834131823461091
wav2vec2,odiya,1.0186388508891928,0.785332478084242
wav2vec2,welsh,0.1642284918146987,0.044025842044134726
wav2vec2,bangla,1.0143737166324436,0.7853578557171371
wav2vec2,british,0.23158627894828487,0.0765782117834973
wav2vec2,american,0.9650165447579241,0.7272657157375145
hubert,indian,0.14211076280041798,0.03667610336817654
hubert,australian,0.18599791013584116,0.058398664343786294
hubert,odiya,1.0177838577291383,0.7846554058869646
hubert,welsh,0.13166144200626959,0.03212108013937282
hubert,bangla,1.0177960301163587,0.7858568577131452
hubert,british,0.15114051889256486,0.04140196754637528
hubert,american,0.9424634273772204,0.7136006460511034
whisper_base,indian,0.09273772204806688,0.04050522648083624
whisper_base,australian,0.16901776384535006,0.0817182055749129
whisper_base,odiya,1.015560875512996,0.795060936497755
whisper_base,welsh,0.06948798328108673,0.028019744483159116
whisper_base,bangla,1.0138603696098563,0.7947676076418592
whisper_base,british,0.13538220442277554,0.061549352016553524
whisper_base,american,1.632924068268896,1.4622168989547037
whisper_base_en,indian,0.0759317311041449,0.032139227642276426
whisper_base_en,australian,0.12669801462904912,0.05943307200929152
whisper_base_en,odiya,1.0172708618331054,0.7950253011189509
whisper_base_en,welsh,0.05416231278300244,0.02228513356562137
whisper_base_en,bangla,1.0142026009582479,0.7952666096378671
whisper_base_en,british,0.09158976144872018,0.04165607870185501
whisper_base_en,american,1.559604667363288,1.3693833478513358
